Country, fully_vaccinated,Total_population
Afghanistan,11.72,39835428
Albania,42.84,2872934
Algeria,14.53,44616626
Angola,18.65,33933611
Antigua and Barbuda,62.48,98728
Argentina,81.7,45605823
Armenia,33.28,2968128
Aruba,76.5,107195
Australia,83.53,25788217
Austria,73.08,9043072
Azerbaijan,47.35,10223344
"Bahamas, The",39.8,396914
Bahrain,69.72,1748295
Bangladesh,69.84,166303494
Barbados,52.87,287708
Belarus,61.11,9442867
Belgium,78.57,11632334
Belize,52.09,404915
Benin,21.06,12451031
Bermuda,76.44,62092
Bhutan,86.1,779900
Bolivia,49.9,11832936
Bosnia and Herzegovina,25.93,3263459
Botswana,55.62,2397240
Brazil,76.86,213993441
Brunei Darussalam,91.82,441532
Bulgaria,29.82,6896655
Burkina Faso,7.16,21497097
Burundi,0.09,12255429
Cabo Verde,54.64,561901
Cambodia,83.9,16946446
Cameroon,4.44,27224262
Canada,82.27,38067913
Cayman Islands,88.49,66498
Central African Republic,20.09,4919987
Chad,12.34,16914985
Chile,90.93,19212362
China,86.53,1444216102
Colombia,69.07,51265841
Comoros,33.9,888456
"Congo, Dem Rep",0.56,92377986
"Congo, Rep",11.53,5657017
Costa Rica,79.89,5139053
Cote d'Ivoire,20.1,27053629
Croatia,54.93,4081657
Cuba,87.91,11317498
Curacao,60.1,164796
Cyprus,71.88,896005
Czech Republic,64.05,10724553
Denmark,82.53,5813302
Djibouti,11.9,1002197
Dominica,41.83,72172
Dominican Republic,54.45,10953714
Ecuador,77.82,17888474
"Egypt, Arab Rep",33.02,104258327
El Salvador,65.94,6518500
Equatorial Guinea,14.79,1449891
Eritrea,,3601462
Estonia,63.77,1325188
Eswatini,28.67,1172369
Ethiopia,18.06,117876226
Faroe Islands,83.37,49053
Fiji,70.26,902899
Finland,77.9,5548361
France,78.22,67564251
Gabon,11.2,2278829
"Gambia, The",12.79,2486937
Georgia,31.76,3979773
Germany,76.79,83900471
Ghana,18.3,31732128
Gibraltar,122.94,33691
Greece,73.46,10370747
Grenada,33.79,113015
Guatemala,33.55,18249868
Guinea,18.6,13497237
Guinea-Bissau,16.94,2015490
Guyana,46.1,790329
Haiti,1.09,11541683
Honduras,48.69,10062994
"Hong Kong SAR, China",81.37,7552800
Hungary,64.28,9634162
Iceland,78.69,343360
India,61.98,1393409033
Indonesia,59.86,276361788
"Iran, Islamic Rep",67.72,85028760
Iraq,17.98,41179351
Ireland,80.79,4982904
Isle of Man,78.47,85410
Israel,66.05,8789776
Italy,79.37,60367471
Jamaica,23.16,2973462
Japan,80.58,126050796
Jordan,43.69,10269022
Kazakhstan,48.69,18994958
Kenya,16.51,54985702
Kiribati,47.94,121388
"Korea, Rep",86.84,51305184
Kuwait,76.15,4328553
Kyrgyz Republic,19.28,6628347
Lao PDR,66.7,7379358
Latvia,69.85,1866934
Lebanon,34.74,6769151
Lesotho,34.07,2159067
Liberia,27.76,5180208
Libya,16.39,6958538
Lithuania,69.7,2689862
Luxembourg,72.72,634814
"Macao SAR, China",85.22,658391
Madagascar,3.7,28427333
Malawi,4.62,19647681
Malaysia,81.6,32776195
Maldives,70.62,543620
Mali,5.1,20855724
Malta,90.76,514564
Marshall Islands,39,59618
Mauritania,22.37,4775110
Mauritius,75.66,1273428
Mexico,61.37,130262220
"Micronesia, Fed Sts",38.81,116255
Moldova,26.35,4024025
Mongolia,65.35,3329282
Montenegro,45.02,628051
Morocco,62.62,37344787
Mozambique,43.19,32163045
Myanmar,43.19,54806014
Namibia,15.29,2587344
Nauru,78.96,10834
Nepal,66.19,29674920
Netherlands,72.23,17173094
New Caledonia,62.47,288217
New Zealand,79.9,4860642
Nicaragua,69.69,6702379
Niger,6.16,25130810
Nigeria,7.05,211400704
North Macedonia,40.17,2082661
Norway,73.8,5465629
Oman,57.97,5223376
Pakistan,54.07,225199929
Palau,94.71,18092
Panama,70.16,4381583
Papua New Guinea,2.89,9119005
Paraguay,47.74,7219641
Peru,80.72,33359415
Philippines,61.16,111046910
Poland,59.4,37797000
Portugal,92.6,10167923
Qatar,89.1,2930524
Romania,42.34,19127772
Russian Federation,50.47,145912022
Rwanda,63.12,13276517
Samoa,78.05,200144
San Marino,69.46,34010
Sao Tome and Principe,38.91,223364
Saudi Arabia,70.14,35340680
Senegal,6.08,17196308
Serbia,47.58,6908224
Seychelles,81.34,98910
Sierra Leone,16.16,8141343
Singapore,91.37,5896684
Slovak Republic,50.76,5460726
Slovenia,58.76,2078723
Solomon Islands,21.08,703995
Somalia,8.47,16359500
South Africa,30.63,60041996
South Sudan,5.27,11381377
Spain,86.46,46745211
Sri Lanka,67.25,21497306
St Kitts and Nevis,49.11,53546
St Lucia,29.02,184401
St Vincent and the Grenadines,27.35,111269
Sudan,8.09,44909351
Suriname,40.15,591798
Sweden,75.11,10160159
Switzerland,68.79,8715494
Syrian Arab Republic,8.37,18275704
Tajikistan,50.4,9749625
Tanzania,5.64,61498438
Thailand,73.41,69950844
Timor-Leste,46.81,1343875
Togo,18.37,8478242
Tonga,67.9,105697
Trinidad and Tobago,50.7,1403374
Tunisia,53.35,11935764
Turkey,62.37,85042736
Turks and Caicos Islands,75.1,39226
Tuvalu,49.9,11792
Uganda,21.75,47123533
Ukraine,34.86,43466822
United Arab Emirates,96.71,9991083
United Kingdom,72.91,68207114
United States,66.08,332915074
Uruguay,82.19,3485152
Uzbekistan,42.88,33935765
Vanuatu,37.57,314464
"Venezuela, RB",49.77,28704947
Vietnam,79.2,98168829
West Bank and Gaza,33.86,5222756
"Yemen, Rep",1.37,30490639
Zambia,12.9,18920657
Zimbabwe,24.47,15092171
